unix,date,symbol,open,high,low,close,Volume CRO,Volume USD
1649764800,4/12/2022 12:00,CRO/USD,0.4589,0.4589,0.4589,0.4589,34.80061,15.96999993
1649739600,4/12/2022 5:00,CRO/USD,0.4589,0.4589,0.4589,0.4589,21.725866,9.969999907
1649732400,4/12/2022 3:00,CRO/USD,0.4135,0.4135,0.386,0.386,452,174.472
1649725200,4/12/2022 1:00,CRO/USD,0.4599,0.4599,0.4599,0.4599,216.907365,99.75569716
1649714400,4/11/2022 22:00,CRO/USD,0.4599,0.4599,0.4599,0.4599,25.87519,11.89999988
1649703600,4/11/2022 19:00,CRO/USD,0.419,0.419,0.4135,0.4167,1405.77,585.784359
1649700000,4/11/2022 18:00,CRO/USD,0.4649,0.4649,0.4649,0.4649,87,40.4463
1649696400,4/11/2022 17:00,CRO/USD,0.4649,0.4649,0.4226,0.4226,193.39,81.726614
1649692800,4/11/2022 16:00,CRO/USD,0.431,0.431,0.431,0.431,26.71,11.51201
1649682000,4/11/2022 13:00,CRO/USD,0.4699,0.4699,0.4679,0.4679,53.144531,24.86632605
1649674800,4/11/2022 11:00,CRO/USD,0.44,0.44,0.431,0.431,979.522597,422.1742393
1649671200,4/11/2022 10:00,CRO/USD,0.44,0.44,0.44,0.44,384.1309,169.017596
1649667600,4/11/2022 9:00,CRO/USD,0.4485,0.4485,0.44,0.44,5321.58,2341.4952
1649660400,4/11/2022 7:00,CRO/USD,0.47,0.47,0.47,0.47,809.787234,380.6
1649642400,4/11/2022 2:00,CRO/USD,0.449,0.449,0.4485,0.4485,187.05,83.891925
1649635200,4/11/2022 0:00,CRO/USD,0.4501,0.4501,0.449,0.449,2074.15265,931.2945399
1649628000,4/10/2022 22:00,CRO/USD,0.4529,0.4529,0.4518,0.4518,678.397793,306.5001229
1649610000,4/10/2022 17:00,CRO/USD,0.4979,0.4979,0.4979,0.4979,131.793532,65.61999958
1649599200,4/10/2022 14:00,CRO/USD,0.46,0.46,0.4501,0.4501,342.91,154.343791
1649592000,4/10/2022 12:00,CRO/USD,0.498,0.6,0.459,0.46,5601.191739,2576.5482
1649588400,4/10/2022 11:00,CRO/USD,0.4919,0.498,0.4919,0.498,263.428604,131.1874448
1649584800,4/10/2022 10:00,CRO/USD,0.4919,0.4919,0.4919,0.4919,64.891238,31.91999997
1649581200,4/10/2022 9:00,CRO/USD,0.45,0.45,0.45,0.45,40,18
1649577600,4/10/2022 8:00,CRO/USD,0.45,0.45,0.45,0.45,122.097987,54.94409415
1649574000,4/10/2022 7:00,CRO/USD,0.4919,0.4919,0.4919,0.4919,122.097987,60.05999981
1649570400,4/10/2022 6:00,CRO/USD,0.46,0.46,0.45,0.45,100,45
1649559600,4/10/2022 3:00,CRO/USD,0.46,0.4601,0.46,0.46,813.657084,374.2822586
1649556000,4/10/2022 2:00,CRO/USD,0.4899,0.6,0.459,0.459,5729.262739,2629.731597
1649552400,4/10/2022 1:00,CRO/USD,0.4394,0.4394,0.4394,0.4394,151.910248,66.74936297
1649541600,4/9/2022 22:00,CRO/USD,0.4947,0.4947,0.4947,0.4947,151.910248,75.14999969
1649523600,4/9/2022 17:00,CRO/USD,0.4427,0.4427,0.4427,0.4427,183.295532,81.14493202
1649512800,4/9/2022 14:00,CRO/USD,0.459,0.495,0.459,0.495,55.242424,27.34499988
1649466000,4/9/2022 1:00,CRO/USD,0.4322,0.459,0.4322,0.459,62,28.458
1649462400,4/9/2022 0:00,CRO/USD,0.45,0.45,0.35,0.432,1995.047294,861.860431
1649455200,4/8/2022 22:00,CRO/USD,0.4518,0.4518,0.45,0.45,896.883967,403.5977852
1649426400,4/8/2022 14:00,CRO/USD,0.495,0.495,0.495,0.495,40.30303,19.94999985
1649365200,4/7/2022 21:00,CRO/USD,0.4949,0.495,0.4949,0.495,201.549018,99.76676391
1649361600,4/7/2022 20:00,CRO/USD,0.4528,0.4528,0.4528,0.4528,124.80808,56.51309862
1649354400,4/7/2022 18:00,CRO/USD,0.495,0.495,0.495,0.495,124.80808,61.7799996
1649340000,4/7/2022 14:00,CRO/USD,0.4528,0.4528,0.4528,0.4528,19.549019,8.851795803
1649336400,4/7/2022 13:00,CRO/USD,0.495,0.495,0.495,0.495,211.838382,104.8599991
1649289600,4/7/2022 0:00,CRO/USD,0.4502,0.4502,0.4501,0.4501,1351.961703,608.5179625
1649278800,4/6/2022 21:00,CRO/USD,0.5,0.5,0.5,0.5,100,50
1649264400,4/6/2022 17:00,CRO/USD,0.4502,0.4502,0.4502,0.4502,246.338385,110.9015409
1649257200,4/6/2022 15:00,CRO/USD,0.456,0.456,0.4522,0.4522,2220,1003.884
1649253600,4/6/2022 14:00,CRO/USD,0.455,0.455,0.455,0.455,100,45.5
1649250000,4/6/2022 13:00,CRO/USD,0.46,0.46,0.459,0.459,98.0195,44.9909505
1649242800,4/6/2022 11:00,CRO/USD,0.4642,0.4642,0.4601,0.4601,1068.604779,491.6650588
1649239200,4/6/2022 10:00,CRO/USD,0.4643,0.4643,0.4643,0.4643,665,308.7595
1649224800,4/6/2022 6:00,CRO/USD,0.4641,0.4641,0.464,0.464,750.669201,348.3105093
1649217600,4/6/2022 4:00,CRO/USD,0.4629,0.4629,0.4628,0.4628,212.324393,98.26372908
1649203200,4/6/2022 0:00,CRO/USD,0.5168,0.5168,0.4612,0.4612,451.378721,208.1758661
1649188800,4/5/2022 20:00,CRO/USD,0.5198,0.5262,0.5198,0.5262,91.962677,48.39076064
1649181600,4/5/2022 18:00,CRO/USD,0.4736,0.4736,0.4736,0.4736,1000.372603,473.7764648
1649167200,4/5/2022 14:00,CRO/USD,0.4906,0.4906,0.48,0.4892,830.726875,406.3915873
1649163600,4/5/2022 13:00,CRO/USD,0.5389,0.5389,0.495,0.495,443.6,219.582
1649156400,4/5/2022 11:00,CRO/USD,0.4976,0.4976,0.4975,0.4975,592.14006,294.5896799
1649145600,4/5/2022 8:00,CRO/USD,0.4975,0.4975,0.4975,0.4975,17,8.4575
1649134800,4/5/2022 5:00,CRO/USD,0.4907,0.5395,0.4907,0.5,332.302835,166.1514175
