unix,date,symbol,open,high,low,close,Volume BTT,Volume USD
1638486000,12/2/2021 23:00,BTT/USD,0.0031684,0.0031684,0.0031513,0.0031513,55669.39253,175.4309567
1638482400,12/2/2021 22:00,BTT/USD,0.00318,0.0031937,0.0031673,0.0031685,162994.4172,516.4478109
1638478800,12/2/2021 21:00,BTT/USD,0.0031585,0.0031955,0.0031585,0.003179,385751.149,1226.302903
1638475200,12/2/2021 20:00,BTT/USD,0.0031432,0.0031605,0.0031432,0.0031544,182077.7764,574.346138
1638471600,12/2/2021 19:00,BTT/USD,0.003144,0.003148,0.003144,0.0031445,21894.67522,68.84780621
1638468000,12/2/2021 18:00,BTT/USD,0.0031241,0.0031699,0.0031241,0.0031425,312678.3576,982.5917387
1638464400,12/2/2021 17:00,BTT/USD,0.0031118,0.0031216,0.0031118,0.0031216,146981.1911,458.816486
1638460800,12/2/2021 16:00,BTT/USD,0.0030993,0.0031196,0.0030993,0.0031081,217435.7758,675.8121348
1638457200,12/2/2021 15:00,BTT/USD,0.0031124,0.0031203,0.0030955,0.0030996,201777.4917,625.4295132
1638453600,12/2/2021 14:00,BTT/USD,0.0030989,0.0031258,0.0030926,0.0031089,852227.0942,2649.488813
1638450000,12/2/2021 13:00,BTT/USD,0.0030997,0.003113,0.0030916,0.0031015,616612.5548,1912.423839
1638446400,12/2/2021 12:00,BTT/USD,0.003098,0.0031029,0.003098,0.0031029,63298.542,196.409046
1638442800,12/2/2021 11:00,BTT/USD,0.0031111,0.0031111,0.0030894,0.0030946,262143.3988,811.2289618
1638439200,12/2/2021 10:00,BTT/USD,0.0031232,0.0031232,0.0031046,0.0031079,1008840.829,3135.376413
1638435600,12/2/2021 9:00,BTT/USD,0.003128,0.003128,0.0031197,0.0031275,63233.57299,197.7629995
1638432000,12/2/2021 8:00,BTT/USD,0.0031202,0.003128,0.0031201,0.003128,48697.29518,152.3251393
1638428400,12/2/2021 7:00,BTT/USD,0.0031202,0.0031202,0.0031202,0.0031202,10941.60631,34.14
1638424800,12/2/2021 6:00,BTT/USD,0.0031029,0.00312,0.0031029,0.00312,236239.5604,737.0674285
1638421200,12/2/2021 5:00,BTT/USD,0.0030945,0.0031017,0.0030875,0.0031017,401359.7129,1244.897422
1638417600,12/2/2021 4:00,BTT/USD,0.0030869,0.0030948,0.0030869,0.0030931,84238.26762,260.5573856
1638414000,12/2/2021 3:00,BTT/USD,0.0031179,0.0031179,0.0030733,0.0030844,325842.0849,1005.027327
1638410400,12/2/2021 2:00,BTT/USD,0.0031317,0.0031317,0.0031167,0.0031216,93934.67692,293.2264875
1638406800,12/2/2021 1:00,BTT/USD,0.003128,0.003128,0.003128,0.003128,4142,12.956176
